date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:03:57	33654/33654	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-8376%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/popups.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/popups.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:57	37423/37423	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-922f%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/notifications.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/ui-features/notifications.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:58	198025/198025	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-30589%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/mdi.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/mdi.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:03:59	63015/63015	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-f627%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/flag-icons.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/flag-icons.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:00	163069/163069	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-27cfd%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/font-awesome.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/font-awesome.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:00	69029/69029	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-10da5%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/simple-line-icon.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/simple-line-icon.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:01	72198/72198	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-11a06%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/themify.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/icons/themify.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:01	62550/62550	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-f456%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/basic_elements.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/basic_elements.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:02	53857/53857	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-d261%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/advanced_elements.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/advanced_elements.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:02	35767/35767	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-8bb7%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/validation.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/validation.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:02	35796/35796	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-8bd4%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/wizard.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/wizard.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
12:04:03	33135/33135	---MCZ	200	added ('OK')	text/html	etag:W/%225f02fc32-816f%22	https://www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/text_editor.html	C:/My%20Web%20Sites/Admin%20E-commerce/www.bootstrapdash.com/demo/aquaui/template/demo_1/pages/forms/text_editor.html	(from https://www.bootstrapdash.com/demo/aquaui/template/demo_1/index.html)
